,interest_name,audience
6003491790586,Jameson Irish Whiskey,5618300
6003059838332,Barbecue sauce,7481070
6002990502459,Croissant,10166720
6003322501097,Broccoli,14612700
6003445970883,Mustard (condiment),22832170
6003010064419,Coriander,23338910
6003276833410,Cookware and bakeware,49895470
6003370699602,Taco Bell,15005010
6003661475718,Margarine,14504830
6003290343725,Cucumber,30661470
6003166506630,Tiramisu,10754100
6003530963263,Lamb and mutton,12098910
6003141088984,Fuel oil,4493290
6003142790061,Red meat,6771600
6003280364725,Patrón Tequila,8568120
6003638600901,Jose Cuervo,3384380
6007660359222,Global cuisine,20369070
6003142198566,Chewing gum,26051110
6003415251991,Frozen food,28706390
6003358674204,Malibu Rum,1707270
6003339210196,Calendula,3556350
6003331479294,Pumpkin,26817050
6003129600117,Chiquita Banana,2642920
6002929271973,San Pellegrino,2346730
6003423543991,Anheuser-Busch InBev,13122700
6003650493513,Exhaust system,17873000
6003192108272,Glycerol,8824160
6003251852793,Yorkie,917060
6002959290720,Asian cuisine,11855890
6003444791871,Yeast,17138070
6003175600814,Molasses,3792990
6003236234049,Sugar cookie,1019600
6003180807333,Royal icing,925610
6002868778710,Big Apple,1353600
6003116915826,Tomato sauce,11211790
6003344096727,Amaretto,1670780
6003719831713,Small appliance,10462970
6003398722527,Vinegar,35632210
6003133319814,Carbonated water,15779520
6003269035902,Grenache,8418570
6003207885738,Wasabi,8779550
6003157813084,Ounce,5989620
6002889101422,Doner kebab,14088040
6003736323691,Brisket,6045130
6003352455200,Junk food,5733750
6003316211163,Pizza Hut,73484060
6003141984240,Brandy,8702510
6003280220359,Réveillon,11423220
6003349594005,Fender Jazz Bass,985610
6003784912878,Meringue,22093730
6004176059095,Ozone,17469250
6003359553204,Peanut butter,21479360
6003253446511,Steaming,17682590
6002971905794,Macaroni,21169730
6003612009247,Chocolate bar,13095550
6003148277526,Açaí palm,18606820
6003286924141,Quesadilla,10149190
6003346540330,Tennessee whiskey,14926410
6003351610800,Stew,21819710
6003380299181,Farmers' market,25105290
6003328538297,Frappuccino,16068660
6003180244502,Taquito,6864330
6003349944727,Bitters,3720270
6003337016359,Tea (meal),16280080
6003639252638,Sake,6957380
6003369945335,Sugar substitute,35116200
6004037534409,Reuse,11186210
6003442099842,Yemek Tarifleri,7631634
6003429737340,Jack Daniel's Tennessee Whiskey,9567110
6002949757355,Celery,7303920
6003391276289,Rye,6774690
6003436602883,Basil,14709570
6003533346064,Languages of Iraq,45589450
6003504016795,Dunkin' Donuts,11457530
6003940506866,Turmeric,39073880
6003228448898,Eggplant,16718990
6003022236356,Parmigiano-Reggiano,16004510
6003236443526,Chopsticks,11612640
6003057332156,Blueberry,39238000
6004061641348,Udon,4237650
6003287254476,Dumpling,29832280
6003717884146,À la carte,8468500
6003340299196,Mediterranean diet,2076490
6003292419979,Camellia sinensis,27513110
