,id,audience
Nerds (candy),6003258120082,26204430
Mentha,6003022929756,29281020
Sake,6003639252638,6957380
Seaweed,6003286163802,15811750
Whipped cream,6003534973273,7383300
Chocolate brownie,6003273088108,39169120
Cappuccino,6003066071470,54922820
Guinness,6003546597227,11634790
Catfish,6003171250255,17642980
Vinegar,6003398722527,35632210
Biscuit,6003089639015,70448630
Wedding reception,6003029412207,36797545
Frozen food,6003415251991,28706390
Meringue,6003784912878,22093730
Plum,6003268353336,19714190
Shake Shack,6003280111559,1613370
Food coloring,6002925767321,17725930
Mustard (condiment),6003445970883,22832170
Legume,6003403449818,67229420
Glycerol,6003192108272,8824160
Dip (food),6002982525646,16231310
Happy Meal,6003114155500,3371250
Gluten,6003648987038,33464500
Pound cake,6003461205025,2929920
Roast beef,6002951450450,6840630
Jameson Irish Whiskey,6003491790586,5618300
Flatbread,6003492423480,27367160
Horse tack,6003154808705,7247290
Sugarcane,6003305676221,20754580
Infusion,6003108751872,10044560
Cinnamon,6003641340907,32885810
Mentos,6003149763436,4193450
Oat,6003396982135,16730980
Final good,6003304555999,72041330
Buckwheat,6003213817333,2231690
Pepsi,6003198322265,52186940
Walnut,6003437303154,25486390
Mousse,6002899966562,21923020
Custom motorcycle,6003157553608,18713110
Papa John's Pizza,6002911454172,19618410
Habanero,6003979375148,3882770
Truffle,6004534556312,9189700
Buffalo wing,6003145097152,35284560
Broccoli,6003322501097,14612700
Fried egg,6003979268348,7314200
Raisin,6003856272360,39001700
Take-out,6003049340956,88910510
Pickled cucumber,6003351967800,16899670
Boiling,6003279147082,30215400
Scallop,6003345861359,10048550
Magnetic field,6003401093839,14543190
Mint (candy),6003249377588,5437450
Pringles,6003303473060,9795880
Brown sugar,6003478307765,18931670
Black tea,6003583211707,4115830
Cooking oil,6003402079719,35613490
Sugar substitute,6003369945335,35116200
Nutella,6003369251402,45011810
Barbecue sauce,6003059838332,7481070
Cup,6002958519850,6468200
TRES,6003260024286,1810330
Egg white,6003741676691,4730450
Gallon,6003299454611,12745300
Jiaozi,6003204111013,5478140
Edible mushroom,6003155247434,91325440
Supper,6003508867363,5522210
Lime (fruit),6003543480995,26693860
Carbonara,6003468224403,5043780
Cheetos,6003632776783,9319430
Chicken nugget,6003210941333,4545570
Fondue,6003511764864,5936960
Jägermeister,6003971379696,5571920
Basil,6003436602883,14709570
Kiwifruit,6003655276678,13659730
Lollipop,6003188208001,17695000
Lemonade,6003695266490,22667000
Bánh,6002953870523,10750450
Teppanyaki,6002879691572,3884830
Sandwich wrap,6003437449731,8312480
Stingray,6003242661588,3575810
Peel (fruit),6003172447808,7413750
Omelette,6003374983581,13470510
Fragaria,6003545320103,30730840
Powdered sugar,6003138026500,4291490
Shortening,6002943416046,21107210
Types of chocolate,6003293937501,6304150
Vacuum flask,6002924634721,10290340
Tapioca,6003450270842,7281880
Miso,6003137355750,6501840
Jack Daniel's,6003103621717,26103040
Kit Kat,6003192948766,22687790
Morus (plant),6003443310642,4098770
Pizza Pizza,6003290212525,6118360
Hot chocolate,6003704167913,10631560
Gummy bear,6003101895040,20154860
Poultry,6003285599343,55105810
Bourbon whiskey,6003780109252,21972790
Skewer,6003342708387,8689960
Halal,6003175129849,80038970
Porridge,6003304632708,15070850
Tart,6003316220963,21715190
Cuisine of the United States,6002989682968,18753640
Incredible India,6003391657943,9918110
Irish whiskey,6003122006734,6518940
Steam,6003444506671,14931070
Ketchup,6003432713970,19442990
Coconut oil,6003433284154,30088070
Hazelnut,6003287034297,11613420
Taco Bell,6003370699602,15005010
Soft serve,6004211324824,5572320
Ricotta,6003235832885,6137190
Cookware and bakeware,6003276833410,49895470
Flat white,6003051883045,29033640
Broom,6003415367489,14452600
Termite,6003370148602,18901560
Burrito,6003374184925,18172800
Bread roll,6003114403792,23080770
White chocolate,6003530511863,9971100
Okra,6003146769152,5879460
Tempura,6003350072199,6295510
Perrier,6003436384370,1054560
Chardonnay,6003102718434,5229860
Sourdough,6003760373113,5831590
Scone,6003045554244,3295760
Lychee,6003089250992,12483400
Entrée,6003386900912,5654940
Nachos,6003005201892,11618780
Stock (food),6004177324695,13207130
Apple pie,6003241958011,5877700
Pomegranate,6003516890264,20589410
Mojito,6003203153176,14732640
Mug,6003450273042,31987750
Scoutcraft,6003252031486,5658470
Non-alcoholic beverage,6003051172216,29134680
Pickling,6003342697987,19507500
Garnish (food),6003224861876,11158330
Bun,6003971029296,27437710
Pad Thai,6002969872729,3285290
Dried fruit,6003487814431,23761770
Vegetable oil,6006874774496,26756570
Hot sauce,6003153991905,15234330
Dim sum,6003353270460,17875350
Leek,6003191324926,4946060
Global cuisine,6007660359222,20369070
Pinot noir,6003221337067,3947400
Filo,6003116090542,26617630
Marination,6003260981309,10373810
Ramune,6003382434954,418620
Chaff,6003098038715,3890740
Ice cream cake,6003855495960,2996292
Yeast,6003444791871,17138070
Crêpe,6003235056167,49012390
Skirt steak,6003148909036,3304490
Carrot cake,6003351409032,3931130
Ground meat,6003312965359,24686510
Corona (beer),6003381650874,82714410
Hazel,6003064554470,14957450
McCoy's (crisp),6003380351437,324000
Ice cream parlor,6003069975315,16577650
Turkey meat,6008566926074,9071320
Risotto,6002925770121,6154730
Black pepper,6003227021938,43754400
Shellfish,6003223000676,20846010
Cracker (food),6003255790613,11863980
Grocery store,6003174128015,122979470
Batter (cooking),6003341459854,11782930
Celery,6002949757355,7303920
Pork chop,6003451063186,7153260
Sesame,6003379479337,31155700
Kitchenware,6003077174939,34059297
Salsa (sauce),6003372459579,9579890
Egg yolk,6003151745334,12124910
Infant formula,6002969863929,25635475
Maple syrup,6003074035029,8020350
Ozone,6004176059095,17469250
Biryani,6002984430523,29788580
Jackfruit,6003075370293,16339830
Soul food,6003258071301,5971100
Pistachio,6003290862311,16899000
Moët & Chandon,6003372630995,4421960
Soy milk,6003110325272,6720390
Food additive,6002840120679,13592950
Game (food),6003335447697,6564570
Peanut butter,6003359553204,21479360
Aroma of wine,6003230394230,3190350
Carbonated water,6003133319814,15779520
Vitis vinifera,6003325534336,26582320
Spinach,6003287467200,17284030
Croissant,6002990502459,10166720
Countertop,6002926079321,42188930
Pretzel,6003130694636,7217780
Bonbon,6003444800471,20054990
Mussel,6003413479489,9606660
Capsule (pharmacy),6003810928278,16447100
Turmeric,6003940506866,39073880
Peppermint,6003775717078,9539980
